drug_a,drug_b,severity,description,mechanism,source
Warfarin,Aspirin,high,"Concurrent use significantly increases risk of major bleeding events including GI hemorrhage","Both drugs inhibit hemostasis: warfarin inhibits vitamin K-dependent clotting factors while aspirin irreversibly inhibits platelet COX-1","OpenFDA label section 7.1; DrugBank DB00682-DB00945"
Warfarin,Ibuprofen,high,"NSAIDs increase anticoagulant effect and risk of GI bleeding when combined with warfarin","Ibuprofen inhibits platelet function and may displace warfarin from protein binding sites","OpenFDA warfarin label; PMID:15266542"
Warfarin,Metronidazole,moderate,"Metronidazole inhibits warfarin metabolism leading to increased INR and bleeding risk","Metronidazole inhibits CYP2C9 which metabolizes S-warfarin","DrugBank DB00916; FDA MedWatch"
Metformin,Contrast Dye,high,"Risk of lactic acidosis when metformin is combined with iodinated contrast media","Contrast media can cause acute kidney injury reducing metformin clearance leading to accumulation","ACR Manual on Contrast Media; PMID:26541880"
Metformin,Alcohol,moderate,"Excessive alcohol intake with metformin increases risk of lactic acidosis","Alcohol potentiates the effect of metformin on lactate metabolism","OpenFDA metformin label section 5.1"
Metformin,Furosemide,moderate,"Furosemide may increase metformin plasma levels; metformin may decrease furosemide levels","Competitive renal tubular secretion between the two drugs","DrugBank DB00331-DB00695"
Ciprofloxacin,Antacids,moderate,"Antacids containing aluminum or magnesium significantly reduce ciprofloxacin absorption","Metal cations form chelation complexes with ciprofloxacin reducing bioavailability by up to 90%","OpenFDA ciprofloxacin label section 7; PMID:2674640"
Ciprofloxacin,Theophylline,high,"Ciprofloxacin inhibits theophylline metabolism leading to toxic theophylline levels","Ciprofloxacin inhibits CYP1A2 which is the primary enzyme metabolizing theophylline","OpenFDA label; DrugBank DB00537"
Ciprofloxacin,Warfarin,moderate,"Ciprofloxacin may enhance anticoagulant effect of warfarin","Inhibition of CYP1A2 and possible alteration of gut flora reducing vitamin K synthesis","FDA drug interaction guidance; PMID:8863790"
Amoxicillin,Methotrexate,high,"Amoxicillin may increase methotrexate toxicity through reduced renal clearance","Penicillins compete with methotrexate for renal tubular secretion","DrugBank DB00563-DB00563; PMID:20886620"
Amoxicillin,Warfarin,moderate,"Amoxicillin may enhance anticoagulant effect by altering gut flora","Disruption of vitamin K-producing intestinal bacteria","OpenFDA amoxicillin label; clinical case reports"
Omeprazole,Clopidogrel,high,"Omeprazole significantly reduces antiplatelet effect of clopidogrel increasing cardiovascular risk","Omeprazole inhibits CYP2C19 which is required to convert clopidogrel prodrug to active metabolite","FDA safety communication 2009; PMID:19106083"
Omeprazole,Methotrexate,moderate,"Omeprazole may increase methotrexate serum levels","Inhibition of renal H+/K+ ATPase may reduce methotrexate elimination","OpenFDA omeprazole label; PMID:22391685"
Omeprazole,Iron Supplements,low,"Omeprazole reduces absorption of oral iron supplements","Gastric acid suppression reduces conversion of ferric to ferrous iron needed for absorption","OpenFDA label; PMID:15673486"
Atorvastatin,Clarithromycin,high,"Clarithromycin increases atorvastatin exposure leading to increased risk of rhabdomyolysis","Clarithromycin strongly inhibits CYP3A4 which metabolizes atorvastatin","OpenFDA atorvastatin label; DrugBank DB01211"
Atorvastatin,Grapefruit Juice,moderate,"Large amounts of grapefruit juice increase atorvastatin levels","Grapefruit contains furanocoumarins that inhibit intestinal CYP3A4","OpenFDA label; PMID:12538466"
Atorvastatin,Gemfibrozil,high,"Combination increases risk of myopathy and rhabdomyolysis","Gemfibrozil inhibits OATP1B1 transporter and glucuronidation of statins","FDA label; PMID:12205655"
Amlodipine,Simvastatin,moderate,"Amlodipine increases simvastatin exposure; simvastatin dose should not exceed 20mg","Amlodipine inhibits CYP3A4 reducing simvastatin metabolism","OpenFDA simvastatin label; PMID:22188728"
Lisinopril,Potassium Supplements,high,"Combined use can cause life-threatening hyperkalemia","ACE inhibitors reduce aldosterone-mediated potassium excretion; adding potassium worsens retention","OpenFDA lisinopril label section 5.5; PMID:22473079"
Lisinopril,Spironolactone,high,"Dual RAAS blockade significantly increases risk of hyperkalemia and renal impairment","Both drugs independently increase serum potassium through different mechanisms","OpenFDA label; RALES trial data"
Lisinopril,NSAIDs,moderate,"NSAIDs may reduce antihypertensive effect and increase risk of renal impairment","NSAIDs reduce renal prostaglandin synthesis which is important for maintaining renal perfusion in ACE inhibitor-treated patients","OpenFDA label; PMID:17339619"
Diclofenac,Aspirin,moderate,"Concurrent use increases risk of GI bleeding and may reduce cardioprotective effect of aspirin","Both are COX inhibitors; diclofenac may compete with aspirin at the COX-1 binding site","OpenFDA diclofenac label; PMID:15530613"
Diclofenac,Lithium,moderate,"Diclofenac increases lithium serum levels by reducing renal clearance","NSAIDs reduce prostaglandin-mediated renal lithium excretion","OpenFDA label; DrugBank DB01356"
Diclofenac,Methotrexate,high,"Diclofenac reduces methotrexate renal elimination increasing toxicity risk","NSAIDs inhibit prostaglandin-mediated renal blood flow and compete for tubular secretion","OpenFDA label; PMID:2674640"
Paracetamol,Warfarin,low,"Regular paracetamol use may modestly increase INR in warfarin-treated patients","Paracetamol metabolite may inhibit vitamin K-dependent carboxylase","PMID:21831920; clinical monitoring recommended"
Paracetamol,Alcohol,high,"Chronic alcohol use with paracetamol significantly increases risk of hepatotoxicity","Alcohol induces CYP2E1 increasing production of hepatotoxic NAPQI metabolite while depleting glutathione","OpenFDA acetaminophen label; PMID:16490578"
Paracetamol,Isoniazid,moderate,"Isoniazid may increase risk of paracetamol hepatotoxicity","Isoniazid induces CYP2E1 increasing NAPQI production","PMID:8154473; DrugBank DB00951"
Metoprolol,Verapamil,high,"Combination can cause severe bradycardia and heart block","Both drugs suppress AV node conduction through different mechanisms","OpenFDA metoprolol label; PMID:3884575"
Metoprolol,Insulin,moderate,"Beta-blockers may mask symptoms of hypoglycemia and prolong hypoglycemic episodes","Beta-blockers blunt tachycardia and tremor warning signs; may impair glycogenolysis","OpenFDA metoprolol label section 5.7"
Metoprolol,Fluoxetine,moderate,"Fluoxetine inhibits metoprolol metabolism leading to increased beta-blockade","Fluoxetine is a potent CYP2D6 inhibitor; metoprolol is a CYP2D6 substrate","DrugBank DB00264-DB00472; PMID:8893509"
Fluoxetine,MAOIs,critical,"Combination can cause serotonin syndrome which can be fatal","Both drugs increase serotonergic activity; combination causes excessive serotonin accumulation","OpenFDA fluoxetine label section 4; FDA black box warning"
Fluoxetine,Tramadol,high,"Increased risk of serotonin syndrome and seizures","Both drugs increase serotonergic activity; tramadol also lowers seizure threshold","OpenFDA label; PMID:16946613"
Fluoxetine,Warfarin,moderate,"Fluoxetine may increase warfarin plasma levels and bleeding risk","Fluoxetine inhibits CYP2C9 and is highly protein-bound displacing warfarin","DrugBank DB00472; OpenFDA label"
Azithromycin,Amiodarone,high,"Combination increases risk of QT prolongation and torsades de pointes","Both drugs independently prolong QT interval; additive effect on cardiac repolarization","FDA safety communication; PMID:23467656"
Azithromycin,Warfarin,moderate,"Azithromycin may enhance anticoagulant effect of warfarin","Alteration of gut flora reducing vitamin K synthesis","OpenFDA azithromycin label; case reports"
Azithromycin,Digoxin,moderate,"Azithromycin may increase digoxin levels by altering gut flora","Reduced bacterial inactivation of digoxin in the gut","OpenFDA label; PMID:18374843"
Digoxin,Amiodarone,high,"Amiodarone increases digoxin levels by approximately 70%","Amiodarone inhibits P-glycoprotein mediated renal and intestinal digoxin clearance","OpenFDA digoxin label; PMID:3514143"
Digoxin,Verapamil,high,"Verapamil increases digoxin serum levels by 50-75%","Inhibition of P-glycoprotein and reduction of renal digoxin clearance","OpenFDA label; DrugBank DB00661"
Digoxin,Furosemide,moderate,"Furosemide-induced hypokalemia increases sensitivity to digoxin toxicity","Potassium depletion enhances binding of digoxin to Na+/K+ ATPase","OpenFDA label; standard pharmacology"
Clopidogrel,Omeprazole,high,"Omeprazole reduces clopidogrel antiplatelet efficacy","CYP2C19 inhibition prevents conversion of clopidogrel prodrug to active metabolite","FDA safety communication 2009; PMID:19106083"
Clopidogrel,Aspirin,moderate,"Dual antiplatelet therapy increases bleeding risk but may be indicated","Additive inhibition of platelet aggregation via different pathways","AHA/ACC guidelines; clinical indication-dependent"
Phenytoin,Fluconazole,high,"Fluconazole significantly increases phenytoin levels causing toxicity","Fluconazole inhibits CYP2C9 and CYP2C19 which metabolize phenytoin","OpenFDA phenytoin label; DrugBank DB01320"
Phenytoin,Carbamazepine,moderate,"Complex bidirectional interaction altering levels of both drugs","Both drugs induce hepatic enzymes; phenytoin induces carbamazepine metabolism and vice versa","OpenFDA labels; TDM recommended"
Phenytoin,Folic Acid,low,"Folic acid may reduce phenytoin levels; phenytoin reduces folate absorption","Folic acid may increase phenytoin metabolism; phenytoin inhibits folate absorption","OpenFDA label; PMID:7543477"
Carbamazepine,Erythromycin,high,"Erythromycin significantly increases carbamazepine levels causing toxicity","Erythromycin strongly inhibits CYP3A4 which is the primary metabolic pathway for carbamazepine","OpenFDA carbamazepine label; PMID:3925125"
Carbamazepine,Oral Contraceptives,high,"Carbamazepine reduces effectiveness of oral contraceptives leading to contraceptive failure","Carbamazepine induces CYP3A4 increasing metabolism of ethinyl estradiol and progestins","OpenFDA label; WHO guidance on contraception"
Carbamazepine,Grapefruit Juice,moderate,"Grapefruit juice increases carbamazepine bioavailability","Inhibition of intestinal CYP3A4 by furanocoumarins in grapefruit","PMID:9542476; clinical significance variable"
Prednisone,NSAIDs,moderate,"Combined use significantly increases risk of GI ulceration and bleeding","Corticosteroids impair mucosal defense; NSAIDs inhibit protective prostaglandin synthesis","OpenFDA prednisone label; PMID:18581595"
Prednisone,Diabetes Medications,moderate,"Corticosteroids cause hyperglycemia counteracting diabetes medications","Glucocorticoids increase hepatic gluconeogenesis and reduce peripheral glucose uptake","OpenFDA label; clinical dose adjustment usually needed"
Prednisone,Warfarin,moderate,"Corticosteroids may alter warfarin response unpredictably","Variable effects on coagulation factors and warfarin metabolism","OpenFDA label; frequent INR monitoring recommended"
Insulin,Alcohol,high,"Alcohol can cause severe prolonged hypoglycemia in insulin-treated patients","Alcohol inhibits hepatic gluconeogenesis; impairs counter-regulatory hormone response","OpenFDA insulin label; ADA guidelines"
Insulin,Beta-blockers,moderate,"Beta-blockers may mask hypoglycemia symptoms and prolong episodes","Blunting of tachycardia and tremor; impaired glycogenolysis","OpenFDA label; clinical monitoring required"
Insulin,Fluoroquinolones,moderate,"Fluoroquinolones can cause both hypo- and hyperglycemia in diabetic patients","Direct effect on pancreatic beta-cell insulin secretion","FDA safety communication 2018; PMID:19845694"
Levothyroxine,Calcium Supplements,moderate,"Calcium reduces levothyroxine absorption when taken together","Calcium forms insoluble complexes with levothyroxine in the GI tract","OpenFDA levothyroxine label; PMID:16183393"
Levothyroxine,Iron Supplements,moderate,"Iron significantly reduces levothyroxine absorption","Iron forms chelation complexes with levothyroxine reducing bioavailability","OpenFDA label; separate by at least 4 hours"
Levothyroxine,Omeprazole,low,"PPIs may reduce levothyroxine absorption by increasing gastric pH","Levothyroxine absorption is partially pH-dependent in the stomach","PMID:16417408; clinical significance debated"
Tramadol,SSRIs,high,"Combination increases risk of serotonin syndrome and seizures","Both drugs increase serotonergic activity; tramadol also lowers seizure threshold","OpenFDA tramadol label; PMID:16946613"
Tramadol,MAOIs,critical,"Risk of serotonin syndrome and seizures; combination contraindicated","Tramadol inhibits serotonin and norepinephrine reuptake; MAOIs prevent monoamine breakdown","OpenFDA tramadol label section 4"
Tramadol,Carbamazepine,moderate,"Carbamazepine reduces tramadol analgesic effect","Carbamazepine induces CYP3A4 increasing tramadol metabolism to inactive metabolites","OpenFDA label; PMID:11419656"
Doxycycline,Antacids,moderate,"Antacids reduce doxycycline absorption significantly","Divalent and trivalent cations chelate with tetracyclines forming non-absorbable complexes","OpenFDA doxycycline label; standard teaching"
Doxycycline,Iron Supplements,moderate,"Iron significantly reduces doxycycline bioavailability","Metal ion chelation forming non-absorbable complexes","OpenFDA label; separate administration by 2-3 hours"
Doxycycline,Oral Contraceptives,low,"Doxycycline may theoretically reduce OCP effectiveness","Possible alteration of gut flora affecting enterohepatic recycling of estrogen","OpenFDA label; evidence is weak but listed"
Losartan,Potassium Supplements,high,"Risk of hyperkalemia similar to ACE inhibitors","ARBs reduce aldosterone secretion decreasing renal potassium excretion","OpenFDA losartan label; PMID:22473079"
Losartan,Lithium,moderate,"Losartan increases lithium levels by reducing renal clearance","Reduced prostaglandin-mediated renal lithium excretion similar to ACE inhibitors","OpenFDA losartan label; DrugBank DB00678"
Losartan,NSAIDs,moderate,"NSAIDs reduce antihypertensive effect and increase renal risk","Reduction in prostaglandin-mediated renal blood flow","OpenFDA label; similar to ACE inhibitor interaction"
Gabapentin,Opioids,high,"Combination increases risk of respiratory depression and death","Additive CNS depressant effects","FDA boxed warning 2019; PMID:30943542"
Gabapentin,Antacids,moderate,"Antacids reduce gabapentin bioavailability by approximately 20%","Altered GI pH and absorption kinetics","OpenFDA gabapentin label; administer 2h apart"
Pregabalin,Opioids,high,"Combination significantly increases risk of respiratory depression","Additive CNS depression; both drugs depress respiratory drive","FDA safety communication 2019; PMID:30943542"
Pregabalin,Alcohol,moderate,"Alcohol enhances CNS depressant effects of pregabalin","Additive sedation and psychomotor impairment","OpenFDA pregabalin label section 5.5"
Ranitidine,Warfarin,low,"Ranitidine may cause modest increase in warfarin effect","Minor inhibition of warfarin metabolism; less significant than cimetidine","OpenFDA label; clinical significance minimal"
Ranitidine,Ketoconazole,moderate,"Ranitidine reduces ketoconazole absorption by raising gastric pH","Ketoconazole requires acidic gastric pH for dissolution and absorption","OpenFDA label; DrugBank DB01026"
Sertraline,MAOIs,critical,"Risk of fatal serotonin syndrome; combination is absolutely contraindicated","Excessive serotonergic stimulation from combined reuptake inhibition and MAO inhibition","OpenFDA sertraline label section 4; FDA black box warning"
Sertraline,Tramadol,high,"Increased risk of serotonin syndrome","Both drugs inhibit serotonin reuptake","OpenFDA label; PMID:16946613"
Sertraline,Warfarin,moderate,"Sertraline may increase bleeding risk with warfarin","CYP enzyme inhibition and serotonin-mediated platelet effects","OpenFDA sertraline label; PMID:18710422"
Pantoprazole,Clopidogrel,moderate,"May reduce clopidogrel efficacy though less than omeprazole","Weaker CYP2C19 inhibition compared to omeprazole","PMID:20083682; considered safer PPI option with clopidogrel"
Pantoprazole,Methotrexate,moderate,"PPIs may increase methotrexate levels","Inhibition of renal H+/K+ ATPase may reduce methotrexate elimination","OpenFDA pantoprazole label; PMID:22391685"
Clarithromycin,Simvastatin,high,"Combination increases risk of rhabdomyolysis significantly","Clarithromycin strongly inhibits CYP3A4 and P-glycoprotein","OpenFDA labels; simvastatin contraindicated with clarithromycin"
Clarithromycin,Colchicine,critical,"Can cause fatal colchicine toxicity especially in renal impairment","Clarithromycin inhibits CYP3A4 and P-glycoprotein reducing colchicine clearance","FDA safety communication; PMID:18192501"
Clarithromycin,Digoxin,high,"Clarithromycin increases digoxin levels significantly","Inhibition of P-glycoprotein and altered gut flora bacterial digoxin inactivation","OpenFDA label; DrugBank DB01211"
Methotrexate,NSAIDs,high,"NSAIDs reduce methotrexate renal clearance increasing toxicity risk","Inhibition of prostaglandin-mediated renal blood flow and tubular secretion competition","OpenFDA methotrexate label; PMID:2674640"
Methotrexate,Trimethoprim,high,"Trimethoprim increases methotrexate toxicity through antifolate synergy","Both drugs inhibit dihydrofolate reductase; additive bone marrow suppression","OpenFDA label; PMID:2674640"
Methotrexate,PPIs,moderate,"Proton pump inhibitors may increase methotrexate serum levels","Inhibition of renal H+/K+ ATPase transporters reducing methotrexate elimination","OpenFDA label; PMID:22391685"
Sildenafil,Nitrates,critical,"Combination causes severe life-threatening hypotension; absolutely contraindicated","Both drugs increase cGMP-mediated vasodilation; additive hypotensive effect","OpenFDA sildenafil label section 4; FDA black box"
Sildenafil,Alpha-blockers,high,"Risk of symptomatic hypotension especially with initial doses","Additive vasodilatory effects leading to orthostatic hypotension","OpenFDA sildenafil label; dose adjustment required"
Sildenafil,Ritonavir,high,"Ritonavir significantly increases sildenafil levels","Ritonavir inhibits CYP3A4 the primary metabolic pathway for sildenafil","OpenFDA label; maximum sildenafil 25mg per 48 hours"
Amiodarone,QT-prolonging drugs,high,"Additive QT prolongation risk with other QT-prolonging medications","Amiodarone blocks multiple cardiac ion channels; additive effects with similar drugs","OpenFDA amiodarone label; ECG monitoring required"
Amiodarone,Warfarin,high,"Amiodarone inhibits warfarin metabolism increasing INR significantly","Inhibition of CYP2C9 and CYP1A2; effect can persist for months after amiodarone discontinuation","OpenFDA label; reduce warfarin dose by 30-50%"
Amiodarone,Simvastatin,high,"Amiodarone increases simvastatin levels increasing rhabdomyolysis risk","Inhibition of CYP3A4; simvastatin dose should not exceed 20mg","OpenFDA simvastatin label; FDA dose limitation"
Ketoconazole,Simvastatin,critical,"Combination is contraindicated due to extreme rhabdomyolysis risk","Ketoconazole is a potent CYP3A4 inhibitor causing massive statin accumulation","OpenFDA simvastatin label section 4"
Ketoconazole,Cisapride,critical,"Risk of fatal cardiac arrhythmias; combination contraindicated","CYP3A4 inhibition increases cisapride levels causing QT prolongation","FDA withdrawal communication; historical interaction"
Rifampin,Oral Contraceptives,high,"Rifampin dramatically reduces OCP effectiveness causing contraceptive failure","Rifampin is one of the most potent CYP3A4 inducers known","OpenFDA rifampin label; WHO contraception guidance"
Rifampin,Warfarin,high,"Rifampin dramatically reduces warfarin levels","Potent induction of CYP2C9 CYP3A4 and CYP1A2","OpenFDA rifampin label; requires large warfarin dose increases"
Rifampin,HIV Protease Inhibitors,critical,"Rifampin reduces protease inhibitor levels to sub-therapeutic range","Massive CYP3A4 induction; can cause HIV treatment failure","OpenFDA label; rifabutin preferred alternative"
Lithium,NSAIDs,high,"NSAIDs increase lithium levels by 15-30% risking toxicity","Reduced renal prostaglandin-mediated lithium excretion","OpenFDA lithium label; PMID:17339619"
Lithium,ACE Inhibitors,moderate,"ACE inhibitors may increase lithium levels","Reduced renal lithium clearance through hemodynamic effects","OpenFDA label; frequent lithium monitoring required"
Lithium,Diuretics,high,"Thiazide diuretics significantly increase lithium levels","Sodium depletion causes compensatory lithium reabsorption in proximal tubule","OpenFDA lithium label; thiazides most problematic"
Spironolactone,ACE Inhibitors,high,"Significant risk of life-threatening hyperkalemia","Both drugs independently increase serum potassium; additive effect","OpenFDA labels; RALES trial showed benefit with monitoring"
Spironolactone,Potassium Supplements,critical,"Combination frequently causes dangerous hyperkalemia","Spironolactone blocks aldosterone-mediated K+ excretion; exogenous K+ adds to retention","OpenFDA spironolactone label; combination generally avoided"
Spironolactone,NSAIDs,moderate,"NSAIDs reduce diuretic effect and increase hyperkalemia risk","Reduced prostaglandin-mediated renal blood flow and potassium excretion","OpenFDA label; monitor potassium"
Valproic Acid,Lamotrigine,moderate,"Valproic acid doubles lamotrigine half-life requiring dose reduction","Inhibition of lamotrigine glucuronidation by valproic acid","OpenFDA lamotrigine label; slow titration required"
Valproic Acid,Carbapenems,critical,"Carbapenems reduce valproic acid levels by 60-80% causing seizure breakthrough","Carbapenems increase valproic acid glucuronidation and may inhibit absorption","OpenFDA label; combination should be avoided"
Valproic Acid,Aspirin,moderate,"Aspirin displaces valproic acid from protein binding and inhibits metabolism","Protein binding competition and inhibition of beta-oxidation","OpenFDA valproic acid label; monitor free VPA levels"
